Latitude,Longitude,Name,Details,Donate
"-8.141924,31.284909","IJAWANE","undefined","0"
"-8.1372408,31.2697169","LARJAME","undefined","0"
"-8.1382142,31.2637918","AIT BOUALI","undefined","0"
"-8.370435,31.276336","HAMOUCH","undefined","0"
"-8.392698,31.221906","TIRKHASTE","undefined","0"
"-8.37865,31.282062","AZIB ICHAWLIDENE","undefined","0"
"-8.371667,31.290663","AZIB DOU-OUZROU","undefined","0"
"-8.394985,31.255873","ADDAR AIT","undefined","0"
"-8.382404,31.242096","IWRAGHANE","undefined","0"
"-8.343646,31.283511","TIFRATINE","undefined","0"
"-8.348548,31.231188","AIT SMILE","undefined","0"
"-8.3854284,31.2519039","DAR LJAMAA","undefined","0"
"-8.378295,31.242869","AGADIR NAIT","undefined","0"
"-8.410916,31.296912","ASSAKWI","undefined","0"
"-8.389153,31.238678","BOUKHALF","undefined","0"
"-8.361244,31.109757","AIT IHLA","undefined","0"
"-8.356686,31.107148","TLATE","undefined","0"
"-8.315937,31.119117","ANARNI","undefined","0"
"-8.313582,31.140664","AZGOUR","undefined","0"
"-8.276432,31.117757","TILFITINE","undefined","0"
"-8.268556,31.101501","TALAT NWARGUE","undefined","0"
"-8.251925,31.086708","OURMARE","undefined","0"
"-8.271357,31.086307","TIZI OUSSOUL","undefined","0"
"-8.257939,31.146681","INFAGUE","undefined","0"
"-8.264666,31.136488","AYNAGHDE","undefined","0"
"-8.256293,31.142134","DOU ANAMAR","undefined","0"
"-8.265746,31.126005","ADOUZE","undefined","0"
"-8.276808,31.215983","AZROU WADAKER","undefined","0"
"-8.2233344,31.2447795","TIGUENZIWINE","undefined","0"
"-8.253311,31.209218","TALAT N'YAHIA","undefined","0"
"-8.2501967,31.2313339","TALILITE","undefined","0"
"-8.187723,31.175402","AIT IRGHIT","undefined","0"
"-8.175801,31.182945","TIZGUI","undefined","0"
"-8.179227,31.201179","AFLLA IGHIL","undefined","0"
"-8.170361,31.217463","AIT ZITOUN","undefined","0"
"-8.167801,31.222991","AIT BOUZID","undefined","0"
"-8.193572,31.239759","TIGDALT","undefined","0"
"-8.1944381,31.1936803","ZAOUIT","undefined","0"
"-8.2022081,31.2107335","IZALAGHEN","undefined","0"
"-8.138076,31.451178","EL QUACHLA","undefined","0"
"-8.7640984,30.7516159","TAMSOULT","undefined","0"
"-8.7640478,30.7769925","AGUERD","undefined","0"
"-8.7631767,30.79828","TAGANTOURTE","undefined","0"
"-8.7634932,30.7429047","IMOULASS","undefined","0"
"-8.7509828,30.782064","AMECHTAKATE","undefined","0"
"-8.7249117,30.768154","TIKFELT","undefined","0"
"-8.6972997,30.7898258","IKHOUDAMNE","undefined","0"
"-8.046183,30.860234","IBARZIZANE","undefined","0"
"-7.976194,30.862247","TANMAGUELTE","undefined","0"
"-7.9536754,30.8394757","TIZGUI NOUKHOUCHE","undefined","0"
"-8.0223902,30.8596692","AFELLA NOUZEGROUZE","undefined","0"
"-8.0003956,30.8567592","TANDILTE","undefined","0"
"-7.921892,30.876497","AIT MAADE","undefined","0"
"-7.920754,30.884499","TIFKILTE","undefined","0"
"-7.932746,30.902215","IGHEBLI","undefined","0"
"-7.945344,30.907094","TIZGUI NIBARAGHNE","undefined","0"
"-7.948316,30.921062","TAGADIRTE AIT","undefined","0"
"-7.9415465,30.9765765","ZAOUTE","undefined","0"
"-7.9468742,30.9671012","TAMSOULT","undefined","0"
"-7.9383046,30.9738306","TASSOUANTE","undefined","0"
"-7.932995,30.9735261","TARGA","undefined","0"
"-7.924592,30.9838787","WAWARG","undefined","0"
"-7.9051237,30.9929725","ANMITERE","undefined","0"
"-8.8446154,30.9335708","IKACHANEN","undefined","0"
"-8.8380982,30.9536223","AGOUJGALE","undefined","0"
